BeverageId	name	info	imagePath	hasCool	hasHot	remark	Category_id	Shop_id
H40	葡萄柚汁	葡萄柚汁人間極品	清心福全/葡萄柚汁.png	TRUE	TRUE		CF	H
H41	葡萄柚綠茶	葡萄柚綠茶好喝推推	清心福全/葡萄柚綠茶.png	TRUE	TRUE		CG	H
H42	和風抹茶	和風抹茶人間極品	清心福全/和風抹茶.png	TRUE	TRUE		CG	H
H43	翡翠抹茶	翡翠抹茶好喝推推	清心福全/翡翠抹茶.png	TRUE	TRUE		CG	H
H44	抹茶拿鐵	抹茶拿鐵人間極品	清心福全/抹茶拿鐵.png	TRUE	TRUE		CM	H
H45	鮮奶茶	鮮奶茶好喝推推	清心福全/鮮奶茶.png	TRUE	TRUE		CM	H
H46	鮮奶冬瓜	鮮奶冬瓜人間極品	清心福全/鮮奶冬瓜.png	TRUE	TRUE		CM	H
H47	鮮奶豆漿	鮮奶豆漿好喝推推	清心福全/鮮奶豆漿.png	TRUE	TRUE		CM	H
H48	咖啡拿鐵	咖啡拿鐵人間極品	清心福全/咖啡拿鐵.png	TRUE	TRUE		CM	H
H49	清心巧克力拿鐵	清心巧克力拿鐵好喝推推	清心福全/清心巧克力拿鐵.png	TRUE	TRUE		CM	H
H50	濃情巧克力拿鐵	濃情巧克力拿鐵人間極品	清心福全/濃情巧克力拿鐵.png	TRUE	TRUE		CM	H
H51	冰淇淋紅茶	冰淇淋紅茶好喝推推	清心福全/冰淇淋紅茶.png	TRUE	TRUE		CB	H
H52	冰淇淋抹茶	冰淇淋抹茶人間極品	清心福全/冰淇淋抹茶.png	TRUE	TRUE		CG	H
H53	冰淇淋奶茶	冰淇淋奶茶好喝推推	清心福全/冰淇淋奶茶.png	TRUE	TRUE		CM	H
H54	桂圓茶	桂圓茶人間極品	清心福全/桂圓茶.png	FALSE	TRUE		CX	H
H55	桂圓奶茶	桂圓奶茶好喝推推	清心福全/桂圓奶茶.png	FALSE	TRUE		CM	H
H56	薑母茶	薑母茶人間極品	清心福全/薑母茶.png	FALSE	TRUE		CX	H
H57	薑母奶茶	薑母奶茶好喝推推	清心福全/薑母奶茶.png	FALSE	TRUE		CM	H
I01	愛文芒果冰沙	愛文芒果冰沙人間極品	大苑子/愛文芒果冰沙.png	TRUE	TRUE		CF	I
I02	黃金蜜柚茶	黃金蜜柚茶好喝推推	大苑子/黃金蜜柚茶.png	TRUE	TRUE		CF	I
I03	愛文翡翠	愛文翡翠人間極品	大苑子/愛文翡翠.png	TRUE	TRUE		CG	I
I04	芭樂檸檬	芭樂檸檬好喝推推	大苑子/芭樂檸檬.png	TRUE	TRUE		CF	I
I05	芭樂梅	芭樂梅人間極品	大苑子/芭樂梅.png	TRUE	TRUE		CF	I
I06	番茄梅	番茄梅好喝推推	大苑子/番茄梅.png	TRUE	TRUE		CF	I
I07	蜂蜜檸檬	蜂蜜檸檬人間極品	大苑子/蜂蜜檸檬.png	FALSE	FALSE		CF	I
I08	新鮮水果茶	新鮮水果茶好喝推推	大苑子/新鮮水果茶.png	FALSE	FALSE		CF	I
I09	蘋果醋冰茶	蘋果醋冰茶人間極品	大苑子/蘋果醋冰茶.png	FALSE	FALSE		CF	I
I10	戀戀檸檬	戀戀檸檬好喝推推	大苑子/戀戀檸檬.png	FALSE	FALSE		CF	I
I11	柚美粒	柚美粒人間極品	大苑子/柚美粒.png	FALSE	FALSE		CF	I
I12	金桔粒脆纖果	金桔粒脆纖果好喝推推	大苑子/金桔粒脆纖果.png	FALSE	FALSE		CF	I
I13	蘋果多輕飲	蘋果多輕飲人間極品	大苑子/蘋果多輕飲.png	FALSE	FALSE		CF	I
I14	百香多輕飲	百香多輕飲好喝推推	大苑子/百香多輕飲.png	FALSE	FALSE		CF	I
I15	檸檬多輕飲	檸檬多輕飲人間極品	大苑子/檸檬多輕飲.png	FALSE	FALSE		CF	I
I16	柚香多輕飲	柚香多輕飲好喝推推	大苑子/柚香多輕飲.png	FALSE	FALSE		CF	I
I17	百香輕果飲	百香輕果飲人間極品	大苑子/百香輕果飲.png	FALSE	FALSE		CF	I
I18	葡萄柚輕果飲	葡萄柚輕果飲好喝推推	大苑子/葡萄柚輕果飲.png	FALSE	FALSE		CF	I
I19	百香綠沛	百香綠沛人間極品	大苑子/百香綠沛.png	FALSE	FALSE		CG	I
I20	檸檬綠沛	檸檬綠沛好喝推推	大苑子/檸檬綠沛.png	FALSE	FALSE		CG	I
I21	蔓越莓綠沛	蔓越莓綠沛人間極品	大苑子/蔓越莓綠沛.png	FALSE	FALSE		CG	I
I22	繽紛水果茶	繽紛水果茶好喝推推	大苑子/繽紛水果茶.png	FALSE	FALSE		CF	I
I23	翡翠檸檬	翡翠檸檬人間極品	大苑子/翡翠檸檬.png	FALSE	FALSE		CG	I
I24	鮮桔梅麗	鮮桔梅麗好喝推推	大苑子/鮮桔梅麗.png	FALSE	FALSE		CF	I
I25	鮮百香果綠	鮮百香果綠人間極品	大苑子/鮮百香果綠.png	FALSE	FALSE		CF	I
I26	鮮榨檸檬青	鮮榨檸檬青好喝推推	大苑子/鮮榨檸檬青.png	FALSE	FALSE		CF	I
I27	金桔檸檬	金桔檸檬人間極品	大苑子/金桔檸檬.png	FALSE	FALSE		CF	I
I28	鮮榨葡萄柚綠	鮮榨葡萄柚綠好喝推推	大苑子/鮮榨葡萄柚綠.png	FALSE	FALSE		CF	I
I29	百香愛玉	百香愛玉人間極品	大苑子/百香愛玉.png	FALSE	FALSE		CF	I
I30	檸檬愛玉	檸檬愛玉好喝推推	大苑子/檸檬愛玉.png	FALSE	FALSE		CF	I
I31	青春梅麗	青春梅麗人間極品	大苑子/青春梅麗.png	FALSE	FALSE		CF	I
I32	蔓美粒	蔓美粒好喝推推	大苑子/蔓美粒.png	FALSE	FALSE		CF	I
I33	蜜仙草	蜜仙草人間極品	大苑子/蜜仙草.png	FALSE	FALSE		CF	I
